Rock_Type,Porosity,Permeability,Trap_Type,Seismic_Score,Proximity_to_Oil_Field,Estimated_Reservoir_Depth,Oil_Presence
Shale,0.43884776633027145,903.714251928912,None,0.18188069815158736,4.2268107829025645,1547,0
Sandstone,6.21726899306635,111.88381910788884,Fault,0.1695860008207134,0.5836242020537852,4878,0
Shale,21.397076042500103,177.94433614481707,None,0.8628000341287271,0.18058760227001536,1815,0
Shale,11.598605179015026,429.23615956509536,Dome,0.4981484372345669,3.0426906045665785,1886,0
Sandstone,19.874518408248246,127.58602249900463,Anticline,0.2459372142528491,1.7087151743981932,4420,0
Sandstone,10.408879792036753,566.7298475803633,Dome,0.6887303576063237,1.6471284333132359,2237,1
Shale,11.722654569889112,399.002066142815,Dome,0.891875166934221,3.436040930658437,921,0
Limestone,4.760366210690547,285.3111987413825,None,0.6323226459442498,4.250519139114519,4301,1
Shale,7.7469305899848,170.81982320461964,Fault,0.3473450429400172,1.6108775267010071,1911,0
Shale,18.162352725227617,336.0029001098621,Anticline,0.48323776529301454,1.6250691101125043,3749,0
Shale,12.994893339454991,608.3513914815096,Anticline,0.7522694609453395,2.6692551964619353,2952,0
Shale,23.229080488337853,576.2094256785222,Anticline,0.06750122887238752,3.265918010402199,2583,0
Sandstone,25.577548648150284,164.46037621002358,Anticline,0.21716451595644226,1.0145289777758892,4953,0
Shale,16.249392546502797,125.79489092989277,Fault,0.4625831866494472,4.563395764559363,4178,0
Limestone,22.748018761681774,27.650085846263657,Anticline,0.6042409640970987,3.2720826192600603,1850,1
Sandstone,9.207135395837101,13.413168200138333,None,0.33916559104232447,3.1258090568404913,2867,0
Limestone,12.449136462002347,879.9306252839655,None,0.2983909218698807,4.520978180338841,3840,0
Limestone,21.38333028650493,46.04376714938453,Anticline,0.04138419569972129,4.536325402972386,3072,0
Limestone,11.58635978451092,731.4898887633731,Anticline,0.03260177205144754,0.6777506031324465,4620,0
Limestone,17.655148054769665,872.113111148712,Fault,0.2786948543028256,0.7253775198993362,4344,0
Sandstone,5.5611833724753446,98.95979071389513,Fault,0.530506100089543,3.8097434947007383,1139,0
Sandstone,17.99313944911494,436.8651224091846,Anticline,0.5563714964454115,4.784399727719853,2074,0
Limestone,25.845411216806806,962.3406801911024,Fault,0.49402749286686887,3.33256839256554,3728,0
Limestone,26.059189194702768,834.3045218630615,Dome,0.4098806840028343,2.0565849930358504,4769,0
Sandstone,21.73033218988619,490.2143278259972,Anticline,0.2522915892613208,3.417365698868728,685,0
Sandstone,22.372601372283782,762.8085416787613,Fault,0.4006944315927822,1.144057881782694,1818,0
Sandstone,16.73782335452102,833.5442468072322,None,0.1387599653855135,4.989831499038918,1027,0
Shale,17.540042704974745,348.67893622553055,Anticline,0.1152592290260368,2.1554260892950907,3759,0
Shale,4.0095174423155395,892.260763953091,Anticline,0.2999432568137914,4.658430012543477,3983,0
Shale,13.315775652639033,471.0028463574796,None,0.9953487964272196,2.1539902643188746,3519,0
Limestone,13.523288516590915,528.2795561952711,None,0.32649694751639846,4.640698905609618,2733,0
